id,latitud,longitud,sector,tipo,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C13-EDUCACION,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS
1671,19.428997,-99.146969,ALAMEDA,9m,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,298,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
2184,19.429177,-99.145822,ALAMEDA,9m,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,445,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2185,19.428112,-99.143583,ALAMEDA,9m,12,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1011,2,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0
2186,19.427942,-99.141963,ALAMEDA,9m,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,1276,1,0,0,0,0,3,3,0,6,0,0,0,1,0,0,0
2187,19.427349,-99.149241,ALAMEDA,9m,21,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,182,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2188,19.431092,-99.14651,ALAMEDA,9m,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,529,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0
2190,19.427073,-99.144144,ALAMEDA,9m,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,472,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
2191,19.440235,-99.125049,CENTRO,9m,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194,19.429259,-99.133677,ALAMEDA,9m,9,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1053,3,0,0,0,0,2,1,0,0,3,0,0,1,0,0,0
2195,19.432524,-99.129031,CENTRO,9m,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,807,0,0,0,0,0,6,1,0,0,3,0,2,0,0,0,0
2196,19.426382,-99.13738,ALAMEDA,9m,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,318,0,0,0,0,1,4,2,0,2,0,0,0,1,0,0,0
2198,19.430229,-99.141546,ALAMEDA,9m,6,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2496,0,0,0,0,0,2,2,0,4,0,0,0,1,0,0,0
2201,19.434097,-99.140988,ALAMEDA,9m,9,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,1143,5,0,0,0,1,5,2,0,0,6,0,1,1,0,0,0
2202,19.431415,-99.138623,ALAMEDA,9m,32,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,671,3,0,1,0,2,5,3,0,0,0,0,0,1,0,0,0
2203,19.43054,-99.136726,ALAMEDA,9m,23,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,518,3,0,1,0,2,5,2,0,0,0,0,1,1,0,0,0
2204,19.433865,-99.124478,CENTRO,9m,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1408,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2206,19.435775,-99.146257,ALAMEDA,9m,22,0,1,0,0,0,1,0,0,4,1,0,19,0,0,1,0,0,0,0,0,1,0,0,0,206,2,0,2,0,1,2,0,0,3,2,0,0,2,0,0,0
2207,19.424206,-99.134625,ALAMEDA,9m,9,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,572,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
2208,19.426599,-99.12561,CENTRO,9m,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1880,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2209,19.429564,-99.136525,ALAMEDA,9m,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,563,2,0,1,0,3,3,2,0,0,0,0,0,1,0,0,0
2211,19.435731,-99.131729,CENTRO,9m,5,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,1,12,1,0,0,5,1,1,2,1,0,0
2212,19.431066,-99.13365,ALAMEDA,9m,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,498,7,0,0,1,0,4,0,0,2,1,0,0,2,0,0,0
2214,19.432929,-99.143358,ALAMEDA,9m,13,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,628,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2215,19.435193,-99.149029,ALAMEDA,9m,26,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,233,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2216,19.429946,-99.132353,ALAMEDA,9m,21,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,532,5,0,0,0,0,4,0,0,2,3,0,0,1,0,0,0
2217,19.432168,-99.133975,ALAMEDA,9m,12,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,2,0,0,0,0,0,854,5,0,0,1,0,5,0,0,3,1,0,0,3,0,0,0
2218,19.433326,-99.145083,ALAMEDA,9m,11,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,419,1,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0
2219,19.436071,-99.14802,ALAMEDA,9m,29,0,1,0,0,0,3,0,0,3,0,0,13,0,0,1,0,0,0,0,0,2,0,0,0,333,2,0,2,0,1,2,5,0,5,2,0,0,2,0,0,0
2224,19.447884,-99.133978,MORELOS,9m,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,60,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2232,19.4494,-99.131108,MORELOS,9m,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2243,19.451824,-99.128203,MORELOS,9m,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244,19.450415,-99.132743,MORELOS,9m,0,0,0,0,0,1,3,0,1,3,1,0,3,0,0,2,0,0,0,0,0,3,0,0,0,130,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2247,19.445,-99.133739,MORELOS,9m,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,445,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2252,19.431753,-99.133298,ALAMEDA,9m,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,404,4,0,0,1,0,5,0,0,5,1,0,0,2,0,0,0
